t,X,Y,H
0.1,-12,-12,39.73722
0.1,-12,0,39.31599
0.1,-12,12,39.73726
0.2,-12,-12,39.27338
0.2,-12,0,38.52691
0.2,-12,12,39.27328
0.3,-12,-12,38.77659
0.3,-12,0,37.86429
0.3,-12,12,38.77562
0.4,-12,-12,38.28416
0.4,-12,0,37.28781
0.4,-12,12,38.28168
0.05,-12,-12,39.91159
0.05,-12,0,39.71867
0.05,-12,12,39.91158
0.5,-12,-12,37.7979
0.5,-12,0,36.75785
0.5,-12,12,37.7938
0.6,-12,-12,37.31538
0.6,-12,0,36.25224
0.6,-12,12,37.30981
0.7,-12,-12,36.83485
0.7,-12,0,35.75936
0.7,-12,12,36.82802
0.8,-12,-12,36.35529
0.8,-12,0,35.27312
0.8,-12,12,36.34743
0.9,-12,-12,35.8762
0.9,-12,0,34.79036
0.9,-12,12,35.8675
0.15,-12,-12,39.51516
0.15,-12,0,38.90602
0.15,-12,12,39.5152
0.25,-12,-12,39.02519
0.25,-12,0,38.1816
0.25,-12,12,39.02477
0.35,-12,-12,38.52948
0.35,-12,0,37.56824
0.35,-12,12,38.52779
0.45,-12,-12,38.04041
0.45,-12,0,37.01873
0.45,-12,12,38.03711
0.55,-12,-12,37.5563
0.55,-12,0,36.50291
0.55,-12,12,37.55144
0.65,-12,-12,37.07494
0.65,-12,0,36.00468
0.65,-12,12,37.06872
0.75,-12,-12,36.59499
0.75,-12,0,35.51565
0.75,-12,12,36.58762
0.85,-12,-12,36.11571
0.85,-12,0,35.03143
0.85,-12,12,36.10741
0.95,-12,-12,35.63675
0.95,-12,0,34.54974
0.95,-12,12,35.62769
1,-12,-12,35.39732
1,-12,0,34.30943
1,-12,12,35.38794
0.1,0,-12,39.31598
0.1,0,0,24.72028
0.1,0,12,39.316
0.2,0,-12,38.52688
0.2,0,0,23.04266
0.2,0,12,38.52674
0.3,0,-12,37.86427
0.3,0,0,22.11136
0.3,0,12,37.86366
0.4,0,-12,37.28785
0.4,0,0,21.42519
0.4,0,12,37.28674
0.05,0,-12,39.71868
0.05,0,0,26.75768
0.05,0,12,39.71867
0.5,0,-12,36.75799
0.5,0,0,20.84462
0.5,0,12,36.75636
0.6,0,-12,36.25248
0.6,0,0,20.31423
0.6,0,12,36.25032
0.7,0,-12,35.75969
0.7,0,0,19.80879
0.7,0,12,35.75701
0.8,0,-12,35.27352
0.8,0,0,19.31604
0.8,0,12,35.27037
0.9,0,-12,34.79082
0.9,0,0,18.82985
0.9,0,12,34.78724
0.15,0,-12,38.906
0.15,0,0,23.7169
0.15,0,12,38.90602
0.25,0,-12,38.18157
0.25,0,0,22.53073
0.25,0,12,38.1812
0.35,0,-12,37.56824
0.35,0,0,21.74949
0.35,0,12,37.56738
0.45,0,-12,37.01882
0.45,0,0,21.1262
0.45,0,12,37.01744
0.55,0,-12,36.5031
0.55,0,0,20.57516
0.55,0,12,36.50119
0.65,0,-12,36.00497
0.65,0,0,20.05935
0.65,0,12,36.00254
0.75,0,-12,35.51602
0.75,0,0,19.56131
0.75,0,12,35.5131
0.85,0,-12,35.03187
0.85,0,0,19.07237
0.85,0,12,35.02849
0.95,0,-12,34.55022
0.95,0,0,18.58815
0.95,0,12,34.54643
1,0,-12,34.30994
1,0,0,18.34705
1,0,12,34.30596
0.1,12,-12,39.73726
0.1,12,0,39.31599
0.1,12,12,39.73724
0.2,12,-12,39.27353
0.2,12,0,38.52679
0.2,12,12,39.27314
0.3,12,-12,38.77635
0.3,12,0,37.86385
0.3,12,12,38.77541
0.4,12,-12,38.28278
0.4,12,0,37.28706
0.4,12,12,38.28172
0.05,12,-12,39.91156
0.05,12,0,39.71868
0.05,12,12,39.9116
0.5,12,-12,37.79517
0.5,12,0,36.75679
0.5,12,12,37.79411
0.6,12,-12,37.31139
0.6,12,0,36.25085
0.6,12,12,37.31032
0.7,12,-12,36.82976
0.7,12,0,35.75761
0.7,12,12,36.82862
0.8,12,-12,36.34929
0.8,12,0,35.27103
0.8,12,12,36.34805
0.9,12,-12,35.86946
0.9,12,0,34.78795
0.9,12,12,35.86808
0.15,12,-12,39.51521
0.15,12,0,38.90602
0.15,12,12,39.51518
0.25,12,-12,39.02527
0.25,12,0,38.18132
0.25,12,12,39.02454
0.35,12,-12,38.52872
0.35,12,0,37.56765
0.35,12,12,38.52769
0.45,12,-12,38.03836
0.45,12,0,37.01783
0.45,12,12,38.0373
0.55,12,-12,37.55293
0.55,12,0,36.50168
0.55,12,12,37.55187
0.65,12,-12,37.07038
0.65,12,0,36.00311
0.65,12,12,37.06929
0.75,12,-12,36.58942
0.75,12,0,35.51373
0.75,12,12,36.58824
0.85,12,-12,36.10932
0.85,12,0,35.02918
0.85,12,12,36.10802
0.95,12,-12,35.62969
0.95,12,0,34.54716
0.95,12,12,35.62823
1,12,-12,35.38998
1,12,0,34.30671
1,12,12,35.38845
